local time,L_CO,L_BC,C45,WMR,RH,L_Dp100,L_Dp50,D25,D15,D05,03_PW,11_PW,07_PW,12_PW,08_PW,05_PW,k
2018-01-06 12:00:00,4.206928922969246,5.1334809389099,0.5957916723312578,5.682307423414707,73.23888889342133,6.7086657827653156,6.700965547009851,88785.0338233038,71890.9450513039,41238.85042719213,2993.2507622918447,26326.89936844002,116114.89032441463,46566.62804401771,117861.64788379979,5117.946317832607,c
2018-01-06 13:00:00,4.229749199228304,5.184277317170488,0.5920434389302093,6.092727751371146,71.45555555158192,6.743412198496846,6.658875562953894,81545.5467453833,65514.73160897735,37093.20193672438,3723.6475207646254,29456.28072273914,112699.04769188222,45796.82300069212,108230.08775215341,4154.807602828079,c
2018-01-06 14:00:00,4.225860035356778,5.144016212437128,0.5701907459233848,5.894020637414805,61.449999999379116,6.766844347271471,6.69175575448126,93557.73658959285,74809.33034013359,43593.90244499225,5039.152347970825,40856.806840464546,95577.82610351278,61593.53520715928,95068.30631411422,3002.0281303605293,c
2018-01-06 15:00:00,4.260329699696362,5.248144302168291,0.617715408229756,6.256450485668423,67.06666666852931,6.728662930677665,6.470722248476506,83032.22339795099,66806.96959192511,38659.220187127925,4869.829645693833,32788.61132562345,101178.82161018414,49923.58341257454,98681.13810377389,3686.699210882047,c
2018-01-06 16:00:00,4.297965447047447,5.137302907008474,0.5608700936408834,6.913516354202657,85.43333333743116,6.592275601603269,6.2079001201581985,88947.58477055738,70904.95168539346,42082.27013415174,4575.6630631650905,39477.69732881273,95133.07013715911,51754.16333147269,97066.0140733632,3302.07512920182,d
2018-01-06 17:00:00,4.328318145347904,4.7132769273139425,0.5556679547313096,6.827998350928774,97.3499999994412,6.163962436380796,5.890568675079893,91045.58559859985,72259.60899731418,42572.16757712465,4176.578861696565,42858.461388367046,92952.54761756008,48873.770210657196,100257.18940602339,3078.1728010940087,d
2018-01-06 18:00:00,4.367864320861377,4.318351937863487,0.6363359606152078,5.755381655333239,79.36111111402924,6.211461041629604,6.641237129065809,96218.62263727775,76342.82039303068,44639.99755145856,4237.157299975275,45272.43651940043,88274.22088454591,51238.76154041477,102344.39403390663,2965.058408396769,d
2018-01-06 19:00:00,4.411585436915426,4.51886562984881,0.6301332273857693,4.369755075046396,55.922222222718936,6.035428656012483,6.781586629008674,107894.37569732452,82840.25966209525,46218.29353018108,6462.297262676295,56274.33072139483,76702.96580055793,69249.78851964662,87777.75336743053,2656.6170589632584,c
2018-01-06 20:00:00,4.409155302062135,4.520176973154698,0.5155169255452751,5.288594019745328,80.71666667672494,5.870057047886951,6.476541554720553,112153.87069315316,82233.5695342249,43053.3776190216,8570.599048579503,63271.79682337673,71254.50847463244,72841.70047090555,84407.79328671821,3488.3009464072693,d
2018-01-06 21:00:00,4.401011934584963,4.107528870937318,0.7178052504700196,5.787141776079079,90.41111110279131,5.716195578972571,6.167275948333466,114201.4608751211,86729.05106523674,48498.7709473858,6314.689634410577,60236.341778656504,73711.80500192402,69605.57507012894,91632.02523752645,2222.8412752547383,g
2018-01-06 22:00:00,4.385354424766557,4.685383819223961,0.6675044149629138,5.900348409564263,87.52222221998704,5.991408770552499,5.96482525095809,95044.10281115002,73373.53561568083,42312.122315087916,3430.5492936983383,50161.68718489246,83504.87736007376,45426.25382096284,109670.59416696704,1991.6122964018139,d
2018-01-06 23:00:00,4.36331091647794,4.293119522519353,0.5068885612441857,5.975549402586684,96.03888888646746,5.922904818408291,6.13695533089852,94276.08653040696,71196.26314372884,40553.423901563576,3547.2284701294343,48993.03433488862,81616.19332853184,44632.23464566517,113365.69510434337,2224.944163888619,d
2018-01-07 00:00:00,4.385977154418232,4.450710816545787,0.555744624902499,5.946283659611481,98.31111111061439,5.821081897094265,5.9627876164034035,90144.65106915249,68821.02304304736,41478.98191762292,2663.208803820229,41661.272984510826,85799.02437352514,36424.236307943305,124695.17650909995,2232.407626215261,d
2018-01-07 01:00:00,4.362036489797379,3.863066160701615,0.6161239921317253,5.684245691427745,97.46666666554908,5.6619485620695125,5.955360947703849,80869.89666465357,58892.24987187529,31215.58445411119,1778.5985979974582,34413.770092385785,88679.90549692261,34593.35501908814,136656.48006695372,1603.203058032009,d
2018-01-07 02:00:00,4.307437777682809,4.375232775252473,0.6237770244279757,5.22176244002156,92.24444444699007,5.828869614722061,6.050498598755734,90447.64679531398,64438.76849937213,33871.366279646834,3051.2011922984775,45067.33869660646,79404.51925540387,50251.542113746465,121935.0914800248,1413.5668460248005,d
2018-01-07 03:00:00,4.311246452612834,4.2014891996734285,0.6350097591087398,5.264205086765224,91.76666665561497,5.881703697499007,6.044752912517182,82138.1132449503,61513.74960837775,29967.80771881486,2178.37361052918,29911.082589916437,88861.29558889433,41981.591897744795,135752.55860161694,2665.127565205168,d
2018-01-07 04:00:00,4.321480134805848,4.406945057358924,0.7312137280738821,5.143239625822357,86.56666666964689,5.920519346959927,6.054874099168472,88051.11050430356,66316.57791768126,32765.471748265263,3078.93898964673,34228.83503593137,86066.93256082034,50252.023419721016,124895.42441447642,3487.9955564752854,d
2018-01-07 05:00:00,4.308559482792009,4.0449986881189455,0.6978596056600281,5.216389554220253,91.73333332904924,5.816731712982303,5.950537052231093,83624.83923494769,67652.48849449179,34262.89663210018,2865.7698285734136,19697.667896430634,93123.90450380267,32519.215862738216,140537.3361989971,7189.220347996303,d
