z_column,releases,clock_dir_all
ALL,2017-12-10 14:00:00,7.874761974097046
ALL,2017-12-10 15:00:00,8.190287668290791
ALL,2017-12-10 16:00:00,8.23201911872684
ALL,2017-12-10 17:00:00,8.131608541626255
ALL,2017-12-10 18:00:00,7.999658921075051
ALL,2017-12-10 19:00:00,7.912257699590092
ALL,2017-12-10 20:00:00,7.856647808807743
ALL,2017-12-10 21:00:00,7.9799031412735255
ALL,2017-12-10 22:00:00,8.049816219797236
ALL,2017-12-10 23:00:00,7.86352512535172
ALL,2017-12-11 00:00:00,7.823438154766734
ALL,2017-12-11 01:00:00,7.718004551118719
ALL,2017-12-11 02:00:00,9.821300470536247
ALL,2017-12-11 03:00:00,8.042823447614388
ALL,2017-12-11 04:00:00,8.084816422481376
ALL,2017-12-11 05:00:00,7.471962017722131
ALL,2017-12-11 06:00:00,6.873756557968218
ALL,2017-12-11 07:00:00,6.671083836289645
ALL,2017-12-11 08:00:00,6.646001906472155
ALL,2017-12-11 09:00:00,6.5473645590775185
ALL,2017-12-11 10:00:00,6.495161692039324
ALL,2017-12-11 11:00:00,6.374838547556353
ALL,2017-12-11 12:00:00,6.319293891212204
ALL,2017-12-11 13:00:00,6.2491315634121944
ALL,2017-12-11 14:00:00,6.04905225702363
ALL,2017-12-11 15:00:00,6.146912999493445
ALL,2017-12-11 16:00:00,6.191574276444186
ALL,2017-12-11 17:00:00,6.233394948760439
ALL,2017-12-11 18:00:00,6.642222677102194
ALL,2017-12-11 19:00:00,6.560119999171785
ALL,2017-12-11 20:00:00,6.502206512071287
ALL,2017-12-11 21:00:00,6.5502342474711845
ALL,2017-12-11 22:00:00,6.709337977925244
ALL,2017-12-11 23:00:00,6.6402186006318304
ALL,2017-12-12 00:00:00,6.491992301577672
ALL,2017-12-12 01:00:00,6.547468894762949
ALL,2017-12-12 02:00:00,6.443087239789167
ALL,2017-12-12 03:00:00,6.33647806467264
ALL,2017-12-12 04:00:00,6.104008457788335
ALL,2017-12-12 05:00:00,5.99563882362231
ALL,2017-12-12 06:00:00,6.274809494172442
ALL,2017-12-12 07:00:00,6.061177581462953
ALL,2017-12-12 08:00:00,5.984562708591406
ALL,2017-12-12 09:00:00,6.002481650906966
ALL,2017-12-12 10:00:00,6.004300070019637
ALL,2017-12-12 11:00:00,5.980042012154226
ALL,2017-12-12 12:00:00,5.837582600501366
ALL,2017-12-12 13:00:00,5.243166652930759
ALL,2017-12-12 14:00:00,5.418389014250258
ALL,2017-12-12 15:00:00,5.04016962856474
ALL,2017-12-12 16:00:00,5.6309897429242115
ALL,2017-12-12 17:00:00,6.201239981233619
ALL,2017-12-12 18:00:00,6.271310440563305
ALL,2017-12-12 19:00:00,6.198660687290397
ALL,2017-12-12 20:00:00,6.11602601433244
ALL,2017-12-12 21:00:00,6.019203267564084
ALL,2017-12-12 22:00:00,5.974158810106511
ALL,2017-12-12 23:00:00,5.912509552164065
ALL,2017-12-13 00:00:00,5.758648568316936
ALL,2017-12-13 01:00:00,5.240865560774483
ALL,2017-12-13 02:00:00,5.4116785357816095
ALL,2017-12-13 03:00:00,5.4025138579362695
ALL,2017-12-13 04:00:00,5.259605005480187
ALL,2017-12-13 05:00:00,5.169795460420887
ALL,2017-12-13 06:00:00,5.204292292996532
ALL,2017-12-13 07:00:00,5.102993232352558
ALL,2017-12-13 08:00:00,5.032598365037309
ALL,2017-12-13 09:00:00,5.291530090912251
ALL,2017-12-13 10:00:00,5.43960306586645
ALL,2017-12-13 11:00:00,5.312007880359339
ALL,2017-12-13 12:00:00,5.229119431725156
ALL,2017-12-13 13:00:00,5.16400084153659
ALL,2017-12-13 14:00:00,5.242623055664654
ALL,2017-12-13 15:00:00,5.152685733248705
ALL,2017-12-13 16:00:00,5.049291810985791
ALL,2017-12-13 17:00:00,4.849003915280926
ALL,2017-12-13 18:00:00,4.637688554766346
ALL,2017-12-13 19:00:00,4.598332686000093
ALL,2017-12-13 20:00:00,4.697553621675991
ALL,2017-12-13 21:00:00,4.601855718944348
ALL,2017-12-13 22:00:00,4.715256029507624
ALL,2017-12-13 23:00:00,4.57824579424946
ALL,2017-12-14 00:00:00,4.662826395234671
ALL,2017-12-14 01:00:00,4.472920150562459
ALL,2017-12-14 02:00:00,4.498601865926925
ALL,2017-12-14 03:00:00,4.57169374413074
ALL,2017-12-14 04:00:00,4.4486845383104185
ALL,2017-12-14 05:00:00,4.465809298451314
ALL,2017-12-14 06:00:00,4.610787417921994
ALL,2017-12-14 07:00:00,4.42541437449238
ALL,2017-12-14 08:00:00,4.071228472245811
ALL,2017-12-14 09:00:00,4.336548722172186
ALL,2017-12-14 10:00:00,4.212544376999954
ALL,2017-12-14 11:00:00,4.2284683473933695
ALL,2017-12-14 12:00:00,4.141432132280158
ALL,2017-12-14 13:00:00,4.098425828838901
ALL,2017-12-14 14:00:00,4.001543798659952
ALL,2017-12-14 15:00:00,3.8846503024145553
ALL,2017-12-14 16:00:00,3.8321899537129345
ALL,2017-12-14 17:00:00,3.763566281083343
ALL,2017-12-14 18:00:00,3.6504895755745626
ALL,2017-12-14 19:00:00,3.564143062784351
ALL,2017-12-14 20:00:00,3.624734829783179
ALL,2017-12-14 21:00:00,3.6235338993467563
ALL,2017-12-14 22:00:00,3.6927266617639836
ALL,2017-12-14 23:00:00,3.735656316868487
ALL,2017-12-15 00:00:00,3.8174304521894955
ALL,2017-12-15 01:00:00,3.714670751812413
ALL,2017-12-15 02:00:00,3.727117061885754
ALL,2017-12-15 03:00:00,3.792482550288133
ALL,2017-12-15 04:00:00,3.7822800704625195
ALL,2017-12-15 05:00:00,3.7768331862412823
ALL,2017-12-15 06:00:00,3.609407490643698
ALL,2017-12-15 07:00:00,3.5173127281776977
ALL,2017-12-15 08:00:00,3.633067663714333
ALL,2017-12-15 09:00:00,3.383303318343951
ALL,2017-12-15 10:00:00,3.393393419392691
ALL,2017-12-15 11:00:00,3.2691233565387643
ALL,2017-12-15 12:00:00,3.196269916262394
ALL,2017-12-15 13:00:00,3.157569089393959
ALL,2017-12-15 14:00:00,3.2388268664672144
ALL,2017-12-15 15:00:00,3.2920415012767683
ALL,2017-12-15 16:00:00,3.28954692123164
ALL,2017-12-15 17:00:00,3.201656988758942
ALL,2017-12-15 18:00:00,3.1483197237660487
ALL,2017-12-15 19:00:00,3.1887228887646026
ALL,2017-12-15 20:00:00,3.3283430609229705
ALL,2017-12-15 21:00:00,3.29504318967167
ALL,2017-12-15 22:00:00,3.3723249192795275
ALL,2017-12-15 23:00:00,3.4262685152853813
ALL,2017-12-16 00:00:00,3.545505404787139
ALL,2017-12-16 01:00:00,3.5545390502856145
ALL,2017-12-16 02:00:00,3.5040653677032574
ALL,2017-12-16 03:00:00,3.433807496452249
ALL,2017-12-16 04:00:00,3.3529168731313623
ALL,2017-12-16 05:00:00,3.2768837759925686
ALL,2017-12-16 06:00:00,3.2240900011142286
ALL,2017-12-16 07:00:00,3.265675720832299
ALL,2017-12-16 08:00:00,3.2184345716972844
ALL,2017-12-16 09:00:00,3.0666641770733283
ALL,2017-12-16 10:00:00,3.068942117019948
ALL,2017-12-16 11:00:00,3.1928095819211455
ALL,2017-12-16 12:00:00,3.149853721720514
ALL,2017-12-16 13:00:00,3.1772739184930168
ALL,2017-12-16 14:00:00,3.128966404918716
ALL,2017-12-16 15:00:00,3.0009317028287716
ALL,2017-12-16 16:00:00,2.8767839432321702
ALL,2017-12-16 17:00:00,2.841256896057308
ALL,2017-12-16 18:00:00,2.8344143645751343
ALL,2017-12-16 19:00:00,2.831675095283148
ALL,2017-12-16 20:00:00,2.697899747583101
ALL,2017-12-16 21:00:00,2.6894281382471203
ALL,2017-12-16 22:00:00,2.8041779010377104
ALL,2017-12-16 23:00:00,2.7143668845950897
ALL,2017-12-17 00:00:00,2.6163220117784607
ALL,2017-12-17 01:00:00,2.6060498465507496
ALL,2017-12-17 02:00:00,2.6856004558311697
ALL,2017-12-17 03:00:00,2.7636763426024817
ALL,2017-12-17 04:00:00,2.9199632324790517
ALL,2017-12-17 05:00:00,2.7250727447345087
ALL,2017-12-17 06:00:00,2.6968587804461617
ALL,2017-12-17 07:00:00,2.797214232044253
ALL,2017-12-17 08:00:00,2.805598965593067
ALL,2017-12-17 09:00:00,2.8527004693731612
ALL,2017-12-17 10:00:00,2.7836384006141373
ALL,2017-12-17 11:00:00,2.789696894014592
ALL,2017-12-17 12:00:00,2.7682223175034886
ALL,2017-12-17 13:00:00,2.6465759503080806
ALL,2017-12-17 14:00:00,2.6152323683685172
ALL,2017-12-17 15:00:00,2.6539862010175823
ALL,2017-12-17 16:00:00,2.632594337753655
ALL,2017-12-17 17:00:00,2.58158453722405
ALL,2017-12-17 18:00:00,2.6087671521695186
ALL,2017-12-17 19:00:00,3.001007737712797
ALL,2017-12-17 20:00:00,3.141502889195946
ALL,2017-12-17 21:00:00,3.377710572016931
ALL,2017-12-17 22:00:00,3.308097225246161
ALL,2017-12-17 23:00:00,2.9827689059860445
ALL,2017-12-18 00:00:00,2.884698019655068
ALL,2017-12-18 01:00:00,3.188528439568691
ALL,2017-12-18 02:00:00,3.1338614596609387
ALL,2017-12-18 03:00:00,3.173513122778563
ALL,2017-12-18 04:00:00,3.220171045837117
ALL,2017-12-18 05:00:00,3.1360482530923615
ALL,2017-12-18 06:00:00,3.4877266446495656
ALL,2017-12-18 07:00:00,3.4885724233725495
ALL,2017-12-18 08:00:00,3.6141823242578965
ALL,2017-12-18 09:00:00,3.641332963581488
ALL,2017-12-18 10:00:00,3.4797257854363606
ALL,2017-12-18 11:00:00,3.3657928201977283
ALL,2017-12-18 12:00:00,3.1674655531979425
ALL,2017-12-18 13:00:00,3.3800268307626875
ALL,2017-12-18 14:00:00,2.9978270369724584
ALL,2017-12-18 15:00:00,2.6592491242203278
ALL,2017-12-18 16:00:00,2.8560776906528362
ALL,2017-12-18 17:00:00,2.868003645637517
ALL,2017-12-18 18:00:00,2.8404714294838476
ALL,2017-12-18 19:00:00,2.690121104793813
ALL,2017-12-18 20:00:00,3.175581560233336
ALL,2017-12-18 21:00:00,3.3545858427970563
ALL,2017-12-18 22:00:00,3.3347238497307936
ALL,2017-12-18 23:00:00,3.3770151987476518
ALL,2017-12-19 00:00:00,2.9328831099655366
ALL,2017-12-19 01:00:00,3.044713791882005
ALL,2017-12-19 02:00:00,3.3163528063286485
ALL,2017-12-19 03:00:00,3.0728108171459545
ALL,2017-12-19 04:00:00,2.7829383899568563
ALL,2017-12-19 05:00:00,3.1107281396936033
ALL,2017-12-19 06:00:00,3.237546005964723
ALL,2017-12-19 07:00:00,3.148076427764105
ALL,2017-12-19 08:00:00,3.1038046197698868
ALL,2017-12-19 09:00:00,3.4092470486078295
ALL,2017-12-19 10:00:00,3.574917755399649
ALL,2017-12-19 11:00:00,3.7400302728295616
ALL,2017-12-19 12:00:00,3.589942811572507
ALL,2017-12-19 13:00:00,3.555748848356128
ALL,2017-12-19 14:00:00,3.4846335997415125
ALL,2017-12-19 15:00:00,3.5055143492035237
ALL,2017-12-19 16:00:00,3.3038073964364036
ALL,2017-12-19 17:00:00,3.5478990678457256
ALL,2017-12-19 18:00:00,3.5158901976155414
ALL,2017-12-19 19:00:00,3.5169123173883596
ALL,2017-12-19 20:00:00,3.4978194379739493
ALL,2017-12-19 21:00:00,3.582017591134165
ALL,2017-12-19 22:00:00,3.4997546869876848
ALL,2017-12-19 23:00:00,3.2761946331584033
ALL,2017-12-20 00:00:00,3.1551645777242388
ALL,2017-12-20 01:00:00,3.2294342243500065
ALL,2017-12-20 02:00:00,3.1552669980371855
ALL,2017-12-20 03:00:00,3.1382489570152003
ALL,2017-12-20 04:00:00,2.962568385671273
ALL,2017-12-20 05:00:00,3.088393812411442
ALL,2017-12-20 06:00:00,3.149072336596685
ALL,2017-12-20 07:00:00,3.497704178714851
ALL,2017-12-20 08:00:00,3.842826022558243
ALL,2017-12-20 09:00:00,3.7556240903813984
ALL,2017-12-20 10:00:00,3.615409615879195
ALL,2017-12-20 11:00:00,3.4243902880241657
ALL,2017-12-20 12:00:00,3.2370739505462565
ALL,2017-12-20 13:00:00,3.458574297431438
ALL,2017-12-20 14:00:00,3.6844123332230385
