normalized,z_column,releases,conc_all
0,ALL,2017-12-10 07:00:00,334192.9146030172
0,ALL,2017-12-10 08:00:00,336248.91342786624
0,ALL,2017-12-10 09:00:00,337793.98565346375
0,ALL,2017-12-10 10:00:00,338268.4058998426
0,ALL,2017-12-10 11:00:00,338396.26945192233
0,ALL,2017-12-10 12:00:00,338253.4502954809
0,ALL,2017-12-10 13:00:00,337907.47206046036
0,ALL,2017-12-10 14:00:00,336842.1128349126
0,ALL,2017-12-10 15:00:00,337894.66833798244
0,ALL,2017-12-10 16:00:00,340526.1453382302
0,ALL,2017-12-10 17:00:00,336512.7951046582
0,ALL,2017-12-10 18:00:00,336095.74633909884
0,ALL,2017-12-10 19:00:00,329975.93256033846
0,ALL,2017-12-10 20:00:00,313096.67124576046
0,ALL,2017-12-10 21:00:00,313686.0950435769
0,ALL,2017-12-10 22:00:00,314972.2499348166
0,ALL,2017-12-10 23:00:00,313157.6609371771
0,ALL,2017-12-11 00:00:00,316711.9976733916
0,ALL,2017-12-11 01:00:00,315508.19928339357
0,ALL,2017-12-11 02:00:00,331619.96366492787
0,ALL,2017-12-11 03:00:00,321517.4830404012
0,ALL,2017-12-11 04:00:00,321531.7185215773
0,ALL,2017-12-11 05:00:00,320466.5924282488
0,ALL,2017-12-11 06:00:00,323309.8866137112
0,ALL,2017-12-11 07:00:00,314149.81908710767
0,ALL,2017-12-11 08:00:00,312949.6950400726
0,ALL,2017-12-11 09:00:00,315211.6447503655
0,ALL,2017-12-11 10:00:00,314120.606802152
0,ALL,2017-12-11 11:00:00,314253.5516844033
0,ALL,2017-12-11 12:00:00,314509.44603042677
0,ALL,2017-12-11 13:00:00,317396.57497995195
0,ALL,2017-12-11 14:00:00,323359.332381545
0,ALL,2017-12-11 15:00:00,321943.8751174627
0,ALL,2017-12-11 16:00:00,321981.7284109239
0,ALL,2017-12-11 17:00:00,318445.85993422277
0,ALL,2017-12-11 18:00:00,297194.49291551916
0,ALL,2017-12-11 19:00:00,294110.7167405508
