z_column,releases,ZSL_all
ALL,2017-12-10 15:00:00,6384.097092843202
ALL,2017-12-10 16:00:00,6319.176481981512
ALL,2017-12-10 17:00:00,6364.558577880583
ALL,2017-12-10 18:00:00,6327.18533558397
ALL,2017-12-10 19:00:00,6356.470086819775
ALL,2017-12-10 20:00:00,6539.358712238435
ALL,2017-12-10 21:00:00,6424.878750174991
ALL,2017-12-10 22:00:00,6383.63984354304
ALL,2017-12-10 23:00:00,6407.823651435537
ALL,2017-12-11 00:00:00,6287.95340122278
ALL,2017-12-11 01:00:00,6148.487867017846
ALL,2017-12-11 02:00:00,5316.697368955675
ALL,2017-12-11 03:00:00,5679.131268911145
ALL,2017-12-11 04:00:00,5648.6185391891995
ALL,2017-12-11 05:00:00,5579.209967074115
ALL,2017-12-11 06:00:00,5520.2409868276545
ALL,2017-12-11 07:00:00,5754.297593395368
ALL,2017-12-11 08:00:00,5735.337441408998
ALL,2017-12-11 09:00:00,5608.07707900371
ALL,2017-12-11 10:00:00,5711.91452160149
ALL,2017-12-11 11:00:00,5756.790755650628
ALL,2017-12-11 12:00:00,5710.478449407893
ALL,2017-12-11 13:00:00,5617.597611002173
ALL,2017-12-11 14:00:00,5442.775152239479
ALL,2017-12-11 15:00:00,5534.702326847806
ALL,2017-12-11 16:00:00,5552.614991037802
ALL,2017-12-11 17:00:00,5487.197254788244
ALL,2017-12-11 18:00:00,5827.3452402695375
ALL,2017-12-11 19:00:00,5776.86919638755
ALL,2017-12-11 20:00:00,5828.998591972536
ALL,2017-12-11 21:00:00,5875.55725915592
ALL,2017-12-11 22:00:00,6234.7218688103485
ALL,2017-12-11 23:00:00,6225.502096618039
ALL,2017-12-12 00:00:00,6131.273295869135
ALL,2017-12-12 01:00:00,6405.518329193863
ALL,2017-12-12 02:00:00,6287.895394773575
ALL,2017-12-12 03:00:00,6119.576226644241
ALL,2017-12-12 04:00:00,5890.25028048193
ALL,2017-12-12 05:00:00,5784.6766345312335
ALL,2017-12-12 06:00:00,6043.2945245368655
ALL,2017-12-12 07:00:00,5873.616262540868
ALL,2017-12-12 08:00:00,5919.533003633337
ALL,2017-12-12 09:00:00,5892.978528579067
ALL,2017-12-12 10:00:00,5875.871705291855
ALL,2017-12-12 11:00:00,5815.469205060381
ALL,2017-12-12 12:00:00,5655.042251734642
ALL,2017-12-12 13:00:00,5311.1813020067875
ALL,2017-12-12 14:00:00,5400.539224355871
ALL,2017-12-12 15:00:00,5137.808426632104
ALL,2017-12-12 16:00:00,5434.102631768765
ALL,2017-12-12 17:00:00,5806.927705538966
ALL,2017-12-12 18:00:00,5982.781260410836
ALL,2017-12-12 19:00:00,6036.162412843291
ALL,2017-12-12 20:00:00,6223.385321291698
ALL,2017-12-12 21:00:00,5972.600008457759
ALL,2017-12-12 22:00:00,6047.6866562643045
ALL,2017-12-12 23:00:00,5975.3395437235195
ALL,2017-12-13 00:00:00,5754.793712847746
ALL,2017-12-13 01:00:00,5189.739990182229
ALL,2017-12-13 02:00:00,5424.578637963404
ALL,2017-12-13 03:00:00,5437.299558372085
ALL,2017-12-13 04:00:00,5323.1388775507785
