z_column,releases,age_all
ALL,2017-12-10 15:00:00,48.576227795765625
ALL,2017-12-10 16:00:00,48.40521175125418
ALL,2017-12-10 17:00:00,48.75382957116031
ALL,2017-12-10 18:00:00,48.550756621564744
ALL,2017-12-10 19:00:00,47.44208867499223
ALL,2017-12-10 20:00:00,46.24003446412846
ALL,2017-12-10 21:00:00,46.474099560316645
ALL,2017-12-10 22:00:00,46.401934665765836
ALL,2017-12-10 23:00:00,46.06330922528791
ALL,2017-12-11 00:00:00,46.02333911802882
ALL,2017-12-11 01:00:00,45.83282872605488
ALL,2017-12-11 02:00:00,47.30824679295448
ALL,2017-12-11 03:00:00,46.426082147210806
ALL,2017-12-11 04:00:00,46.42462258657357
ALL,2017-12-11 05:00:00,46.30441936460738
ALL,2017-12-11 06:00:00,46.515903866845946
ALL,2017-12-11 07:00:00,46.191010836236785
ALL,2017-12-11 08:00:00,46.73383300583081
ALL,2017-12-11 09:00:00,47.246390917443875
ALL,2017-12-11 10:00:00,46.90208503414177
ALL,2017-12-11 11:00:00,46.73212198892381
ALL,2017-12-11 12:00:00,46.48628036993666
ALL,2017-12-11 13:00:00,46.62883906848733
ALL,2017-12-11 14:00:00,46.62064271743943
ALL,2017-12-11 15:00:00,46.36811180478352
ALL,2017-12-11 16:00:00,46.052844606907485
ALL,2017-12-11 17:00:00,45.82547581949251
ALL,2017-12-11 18:00:00,44.00632124710488
ALL,2017-12-11 19:00:00,43.80896053760111
ALL,2017-12-11 20:00:00,43.46678855485179
ALL,2017-12-11 21:00:00,42.938675625803455
ALL,2017-12-11 22:00:00,41.2173786502282
ALL,2017-12-11 23:00:00,41.34714159110443
ALL,2017-12-12 00:00:00,41.517570457347425
ALL,2017-12-12 01:00:00,40.543727533749724
ALL,2017-12-12 02:00:00,41.29151469174876
ALL,2017-12-12 03:00:00,42.087013061819164
ALL,2017-12-12 04:00:00,42.78410454022982
ALL,2017-12-12 05:00:00,43.29314341748345
ALL,2017-12-12 06:00:00,41.77242463451437
ALL,2017-12-12 07:00:00,42.53477900688958
ALL,2017-12-12 08:00:00,42.6794763048992
ALL,2017-12-12 09:00:00,43.22573471081847
ALL,2017-12-12 10:00:00,43.55364769214641
ALL,2017-12-12 11:00:00,43.665133726087745
ALL,2017-12-12 12:00:00,44.09384431514278
ALL,2017-12-12 13:00:00,44.9152994822271
ALL,2017-12-12 14:00:00,45.039824773753544
ALL,2017-12-12 15:00:00,45.2137862438182
ALL,2017-12-12 16:00:00,44.64475261727871
ALL,2017-12-12 17:00:00,43.67764185837857
ALL,2017-12-12 18:00:00,41.68246370266935
ALL,2017-12-12 19:00:00,41.3324245495164
ALL,2017-12-12 20:00:00,39.064753534651246
ALL,2017-12-12 21:00:00,41.18894844353306
ALL,2017-12-12 22:00:00,40.02400552319694
ALL,2017-12-12 23:00:00,40.622950236082914
ALL,2017-12-13 00:00:00,41.81502257923064
ALL,2017-12-13 01:00:00,43.675737425539424
ALL,2017-12-13 02:00:00,42.58816945909717
ALL,2017-12-13 03:00:00,42.74026034348195
ALL,2017-12-13 04:00:00,42.81800043201167
ALL,2017-12-13 05:00:00,42.951921839388
ALL,2017-12-13 06:00:00,43.07175693272822
ALL,2017-12-13 07:00:00,42.90357404103417
ALL,2017-12-13 08:00:00,42.92550851430073
ALL,2017-12-13 09:00:00,41.90998815594197
ALL,2017-12-13 10:00:00,41.84414526714042
ALL,2017-12-13 11:00:00,43.14055396099938
ALL,2017-12-13 12:00:00,44.07769875568542
ALL,2017-12-13 13:00:00,44.11974808608082
ALL,2017-12-13 14:00:00,44.02138945362299
ALL,2017-12-13 15:00:00,43.7572354210123
ALL,2017-12-13 16:00:00,43.53971884103229
ALL,2017-12-13 17:00:00,43.76513332939914
ALL,2017-12-13 18:00:00,44.01300966693252
ALL,2017-12-13 19:00:00,44.00606223670929
ALL,2017-12-13 20:00:00,43.71277434104646
ALL,2017-12-13 21:00:00,44.14854902176323
ALL,2017-12-13 22:00:00,43.86036141220493
ALL,2017-12-13 23:00:00,44.049845848434735
ALL,2017-12-14 00:00:00,43.02872496245288
ALL,2017-12-14 01:00:00,44.22336692403411
ALL,2017-12-14 02:00:00,44.44558155629445
ALL,2017-12-14 03:00:00,44.12017910545292
ALL,2017-12-14 04:00:00,44.499963233868584
ALL,2017-12-14 05:00:00,44.244663091472184
ALL,2017-12-14 06:00:00,43.17055182744537
ALL,2017-12-14 07:00:00,43.50131534767349
ALL,2017-12-14 08:00:00,44.8472194893905
ALL,2017-12-14 09:00:00,43.52322656894441
ALL,2017-12-14 10:00:00,44.03147246133963
ALL,2017-12-14 11:00:00,44.87289987258428
ALL,2017-12-14 12:00:00,45.511425220844835
ALL,2017-12-14 13:00:00,45.35989899310253
ALL,2017-12-14 14:00:00,45.053689804670974
ALL,2017-12-14 15:00:00,45.25843426149183
ALL,2017-12-14 16:00:00,45.51567779919434
ALL,2017-12-14 17:00:00,45.91631865714648
ALL,2017-12-14 18:00:00,46.17766367508411
ALL,2017-12-14 19:00:00,46.32716501097101
ALL,2017-12-14 20:00:00,46.07742388792567
ALL,2017-12-14 21:00:00,46.130332500064746
ALL,2017-12-14 22:00:00,46.378896492371005
ALL,2017-12-14 23:00:00,46.36780438541745
ALL,2017-12-15 00:00:00,46.56905570494734
ALL,2017-12-15 01:00:00,46.68187993324124
ALL,2017-12-15 02:00:00,46.75316265408863
ALL,2017-12-15 03:00:00,46.96095832451212
ALL,2017-12-15 04:00:00,47.150855665392655
ALL,2017-12-15 05:00:00,47.172438662531604
ALL,2017-12-15 06:00:00,47.279168369214716
ALL,2017-12-15 07:00:00,47.44304115806355
ALL,2017-12-15 08:00:00,47.54069095384953
ALL,2017-12-15 09:00:00,47.657969476223016
ALL,2017-12-15 10:00:00,48.018500708516996
ALL,2017-12-15 11:00:00,48.28618726186746
ALL,2017-12-15 12:00:00,48.14986292324406
ALL,2017-12-15 13:00:00,47.95164329764425
ALL,2017-12-15 14:00:00,47.87522838798003
ALL,2017-12-15 15:00:00,47.80540600401855
ALL,2017-12-15 16:00:00,47.914844456803074
ALL,2017-12-15 17:00:00,48.01529789839558
ALL,2017-12-15 18:00:00,48.02735547396355
ALL,2017-12-15 19:00:00,47.979196759707676
ALL,2017-12-15 20:00:00,47.82286893817729
ALL,2017-12-15 21:00:00,47.97335246742662
ALL,2017-12-15 22:00:00,48.138465342096275
ALL,2017-12-15 23:00:00,48.16067049297877
ALL,2017-12-16 00:00:00,48.013246654212
ALL,2017-12-16 01:00:00,48.15671762360082
ALL,2017-12-16 02:00:00,48.44597070356446
ALL,2017-12-16 03:00:00,48.59568149192647
ALL,2017-12-16 04:00:00,49.01545587939156
ALL,2017-12-16 05:00:00,48.47881059653918
ALL,2017-12-16 06:00:00,48.061264851486214
ALL,2017-12-16 07:00:00,47.48377316977572
ALL,2017-12-16 08:00:00,47.132491911574036
ALL,2017-12-16 09:00:00,47.79144897878908
ALL,2017-12-16 10:00:00,48.24187101455328
ALL,2017-12-16 11:00:00,48.453004794391326
ALL,2017-12-16 12:00:00,48.875937121642274
ALL,2017-12-16 13:00:00,48.74974531806549
ALL,2017-12-16 14:00:00,48.64752466431714
ALL,2017-12-16 15:00:00,48.31383149715615
ALL,2017-12-16 16:00:00,48.20861993116356
ALL,2017-12-16 17:00:00,48.20531347022245
ALL,2017-12-16 18:00:00,48.21356995815104
ALL,2017-12-16 19:00:00,48.21789660150155
ALL,2017-12-16 20:00:00,48.13223744366719
ALL,2017-12-16 21:00:00,48.060519949348276
ALL,2017-12-16 22:00:00,48.05332497350753
ALL,2017-12-16 23:00:00,48.151014387501654
ALL,2017-12-17 00:00:00,48.31918226260831
ALL,2017-12-17 01:00:00,48.25058459982647
ALL,2017-12-17 02:00:00,48.11162211599139
ALL,2017-12-17 03:00:00,48.06470861971484
ALL,2017-12-17 04:00:00,47.90240362231093
ALL,2017-12-17 05:00:00,48.29803354593434
ALL,2017-12-17 06:00:00,47.78520650560586
ALL,2017-12-17 07:00:00,47.43031430719947
ALL,2017-12-17 08:00:00,47.21123396740573
ALL,2017-12-17 09:00:00,46.71916491022685
ALL,2017-12-17 10:00:00,47.33415242932586
ALL,2017-12-17 11:00:00,47.89839447216371
ALL,2017-12-17 12:00:00,48.58432554148763
ALL,2017-12-17 13:00:00,48.184097192633004
ALL,2017-12-17 14:00:00,48.21190123616716
ALL,2017-12-17 15:00:00,47.74015630105922
ALL,2017-12-17 16:00:00,47.74862344715891
ALL,2017-12-17 17:00:00,47.78818489114235
ALL,2017-12-17 18:00:00,47.76431989303411
ALL,2017-12-17 19:00:00,47.81140445319074
ALL,2017-12-17 20:00:00,47.75360676960252
ALL,2017-12-17 21:00:00,47.87642933865558
ALL,2017-12-17 22:00:00,47.881103693875914
ALL,2017-12-17 23:00:00,47.89992800112382
ALL,2017-12-18 00:00:00,47.897329013766964
ALL,2017-12-18 01:00:00,47.95992927216217
ALL,2017-12-18 02:00:00,47.937644064807266
ALL,2017-12-18 03:00:00,47.96661739650978
ALL,2017-12-18 04:00:00,48.03796246821082
ALL,2017-12-18 05:00:00,48.00392040781154
ALL,2017-12-18 06:00:00,48.16785569638479
ALL,2017-12-18 07:00:00,48.31017642699227
ALL,2017-12-18 08:00:00,48.3269257379424
ALL,2017-12-18 09:00:00,48.23857178240869
ALL,2017-12-18 10:00:00,48.36374689793213
ALL,2017-12-18 11:00:00,48.243105512597985
ALL,2017-12-18 12:00:00,48.21839171818983
ALL,2017-12-18 13:00:00,48.27811623758377
ALL,2017-12-18 14:00:00,48.34779964337272
ALL,2017-12-18 15:00:00,48.40930585305031
ALL,2017-12-18 16:00:00,48.50998823689532
