z_column,releases,ZGL_all
ALL,2017-12-06 00:00:00,3219.2328912596836
ALL,2017-12-06 01:00:00,3220.4982236446854
ALL,2017-12-06 02:00:00,3355.1555784651873
ALL,2017-12-06 03:00:00,3341.135089610002
ALL,2017-12-06 04:00:00,3094.5128422812495
ALL,2017-12-06 05:00:00,3003.658439355047
ALL,2017-12-06 06:00:00,4259.205016760075
ALL,2017-12-06 07:00:00,4611.090639179044
ALL,2017-12-06 08:00:00,4404.633315062744
ALL,2017-12-06 09:00:00,4645.305310487516
ALL,2017-12-06 10:00:00,4746.514974449987
ALL,2017-12-06 11:00:00,5055.997274290844
ALL,2017-12-06 12:00:00,4913.059659469119
ALL,2017-12-06 13:00:00,4715.651448547246
ALL,2017-12-06 14:00:00,4874.482772315882
ALL,2017-12-06 15:00:00,4764.51600774218
ALL,2017-12-06 16:00:00,4903.37138489055
ALL,2017-12-06 17:00:00,4637.604182565577
ALL,2017-12-06 18:00:00,4857.335504608525
ALL,2017-12-06 19:00:00,4811.608916042671
ALL,2017-12-06 20:00:00,4697.948602152009
ALL,2017-12-06 21:00:00,4680.504745284115
ALL,2017-12-06 22:00:00,4367.163618783437
ALL,2017-12-06 23:00:00,4053.103198400115
ALL,2017-12-07 00:00:00,4204.356907993039
ALL,2017-12-07 01:00:00,4079.909118993068
ALL,2017-12-07 02:00:00,4586.736228590538
ALL,2017-12-07 03:00:00,4606.464743482165
ALL,2017-12-07 04:00:00,4610.675969957157
ALL,2017-12-07 05:00:00,4617.1619459135045
ALL,2017-12-07 06:00:00,4610.245296566699
ALL,2017-12-07 07:00:00,4500.481906130131
ALL,2017-12-07 08:00:00,4462.1074974883195
ALL,2017-12-07 09:00:00,4261.92014182623
ALL,2017-12-07 10:00:00,4117.19084834188
ALL,2017-12-07 11:00:00,4281.684424195012
ALL,2017-12-07 12:00:00,4339.72451819078
ALL,2017-12-07 13:00:00,4267.046272162322
ALL,2017-12-07 14:00:00,4189.686772401847
ALL,2017-12-07 15:00:00,4205.299948864972
ALL,2017-12-07 16:00:00,4184.920163647702
ALL,2017-12-07 17:00:00,4391.477930781176
ALL,2017-12-07 18:00:00,4158.1072649396765
ALL,2017-12-07 19:00:00,3969.5825242138435
ALL,2017-12-07 20:00:00,4557.315385543461
ALL,2017-12-07 21:00:00,4596.301614674165
ALL,2017-12-07 22:00:00,3905.312796815759
ALL,2017-12-07 23:00:00,3973.8169730316704
ALL,2017-12-08 00:00:00,4140.92563814362
ALL,2017-12-08 01:00:00,4478.07514010775
ALL,2017-12-08 02:00:00,4463.397311607449
ALL,2017-12-08 03:00:00,4153.974395815503
ALL,2017-12-08 04:00:00,4235.425395244129
ALL,2017-12-08 05:00:00,4218.347828883755
ALL,2017-12-08 06:00:00,4158.05664968753
ALL,2017-12-08 07:00:00,3947.700375648422
ALL,2017-12-08 08:00:00,4331.354800178009
ALL,2017-12-08 09:00:00,4398.234461722895
ALL,2017-12-08 10:00:00,4262.649425980782
ALL,2017-12-08 11:00:00,4170.242206480282
ALL,2017-12-08 12:00:00,4125.694317520267
ALL,2017-12-08 13:00:00,4138.755396078195
ALL,2017-12-08 14:00:00,4032.4437399203193
ALL,2017-12-08 15:00:00,3864.4926701166146
ALL,2017-12-08 16:00:00,3754.814620545939
ALL,2017-12-08 17:00:00,3828.7388718238685
ALL,2017-12-08 18:00:00,3785.463346137242
ALL,2017-12-08 19:00:00,3956.1125332967445
ALL,2017-12-08 20:00:00,4413.960185686702
ALL,2017-12-08 21:00:00,4653.3309663042455
ALL,2017-12-08 22:00:00,4514.638703241096
ALL,2017-12-08 23:00:00,4562.4126998167785
ALL,2017-12-09 00:00:00,4464.9591927924985
ALL,2017-12-09 01:00:00,4486.081722936723
ALL,2017-12-09 02:00:00,4457.9741325627765
ALL,2017-12-09 03:00:00,4421.101578042548
ALL,2017-12-09 04:00:00,4345.11977524597
ALL,2017-12-09 05:00:00,4160.97103778505
ALL,2017-12-09 06:00:00,4072.4532147891714
ALL,2017-12-09 07:00:00,4191.436131632991
ALL,2017-12-09 08:00:00,3959.1823009916243
ALL,2017-12-09 09:00:00,3975.594544287244
ALL,2017-12-09 10:00:00,4270.950943124934
ALL,2017-12-09 11:00:00,4347.803717211334
ALL,2017-12-09 12:00:00,4011.710899576157
ALL,2017-12-09 13:00:00,4048.556133636861
ALL,2017-12-09 14:00:00,4272.6761664940095
ALL,2017-12-09 15:00:00,4476.5884979900775
ALL,2017-12-09 16:00:00,4578.416877554421
ALL,2017-12-09 17:00:00,4570.632279176125
ALL,2017-12-09 18:00:00,4541.580919490835
ALL,2017-12-09 19:00:00,4618.37108476529
ALL,2017-12-09 20:00:00,4621.185692372776
ALL,2017-12-09 21:00:00,4912.47272702771
ALL,2017-12-09 22:00:00,4965.843682304044
ALL,2017-12-09 23:00:00,4993.0379542629935
ALL,2017-12-10 00:00:00,4724.1584164892065
ALL,2017-12-10 01:00:00,4999.888054828387
ALL,2017-12-10 02:00:00,4979.861085562043
ALL,2017-12-10 03:00:00,4780.860381633853
ALL,2017-12-10 04:00:00,4594.5311050518485
ALL,2017-12-10 05:00:00,5128.3548643022
ALL,2017-12-10 06:00:00,5491.226861789682
ALL,2017-12-10 07:00:00,5179.798292573025
ALL,2017-12-10 08:00:00,4802.78179053924
ALL,2017-12-10 09:00:00,4473.296359693092
ALL,2017-12-10 10:00:00,4246.094865345245
ALL,2017-12-10 11:00:00,4006.7933101908898
ALL,2017-12-10 12:00:00,3939.4293787533315
ALL,2017-12-10 13:00:00,3827.1425046886793
ALL,2017-12-10 14:00:00,3777.3622881049146
ALL,2017-12-10 15:00:00,3862.659706882968
ALL,2017-12-10 16:00:00,3625.9686634455443
ALL,2017-12-10 17:00:00,3826.1673530399444
ALL,2017-12-10 18:00:00,3857.5983826228876
ALL,2017-12-10 19:00:00,3996.9128630470223
ALL,2017-12-10 20:00:00,4319.360925337113
ALL,2017-12-10 21:00:00,4156.839225614799
ALL,2017-12-10 22:00:00,4094.4222502966345
ALL,2017-12-10 23:00:00,4129.345725285179
ALL,2017-12-11 00:00:00,4006.2523630932164
ALL,2017-12-11 01:00:00,3976.694269111591
ALL,2017-12-11 02:00:00,3247.320855772075
ALL,2017-12-11 03:00:00,3604.7808716297764
ALL,2017-12-11 04:00:00,3561.8008766510975
ALL,2017-12-11 05:00:00,3553.4401057283
ALL,2017-12-11 06:00:00,3497.1198915377804
ALL,2017-12-11 07:00:00,3719.4428078597675
ALL,2017-12-11 08:00:00,3667.2332646390014
ALL,2017-12-11 09:00:00,3514.835222761591
ALL,2017-12-11 10:00:00,3555.0425841719057
ALL,2017-12-11 11:00:00,3549.0350483712514
ALL,2017-12-11 12:00:00,3497.202007697355
ALL,2017-12-11 13:00:00,3390.3445022916085
ALL,2017-12-11 14:00:00,3190.339099621557
ALL,2017-12-11 15:00:00,3340.209450692782
ALL,2017-12-11 16:00:00,3435.220081073901
ALL,2017-12-11 17:00:00,3446.3201904024295
ALL,2017-12-11 18:00:00,3917.186459859938
ALL,2017-12-11 19:00:00,3847.192644512394
ALL,2017-12-11 20:00:00,3875.5857522068954
ALL,2017-12-11 21:00:00,3949.5110039885567
ALL,2017-12-11 22:00:00,4382.736727551946
ALL,2017-12-11 23:00:00,4341.917054571595
ALL,2017-12-12 00:00:00,4193.765308172276
ALL,2017-12-12 01:00:00,4469.082063418695
ALL,2017-12-12 02:00:00,4294.4948062066405
ALL,2017-12-12 03:00:00,4097.6189670361055
ALL,2017-12-12 04:00:00,3855.483521130976
ALL,2017-12-12 05:00:00,3775.5939559288504
ALL,2017-12-12 06:00:00,4048.513058166729
ALL,2017-12-12 07:00:00,3847.291808441202
ALL,2017-12-12 08:00:00,3855.9410729030387
ALL,2017-12-12 09:00:00,3798.7142051230644
ALL,2017-12-12 10:00:00,3762.8838232714256
ALL,2017-12-12 11:00:00,3696.884368044361
ALL,2017-12-12 12:00:00,3517.006687987924
ALL,2017-12-12 13:00:00,3263.2959902270104
ALL,2017-12-12 14:00:00,3281.7923558466573
ALL,2017-12-12 15:00:00,3038.3137659881345
ALL,2017-12-12 16:00:00,3267.482025337009
ALL,2017-12-12 17:00:00,3602.338571614683
ALL,2017-12-12 18:00:00,3788.809001035751
ALL,2017-12-12 19:00:00,3789.1808973019165
ALL,2017-12-12 20:00:00,3930.3300364857278
ALL,2017-12-12 21:00:00,3732.9277801126523
ALL,2017-12-12 22:00:00,3770.012210486191
ALL,2017-12-12 23:00:00,3687.007217725792
ALL,2017-12-13 00:00:00,3470.1058135383537
ALL,2017-12-13 01:00:00,3052.321596921319
ALL,2017-12-13 02:00:00,3215.9633911720866
ALL,2017-12-13 03:00:00,3183.4778382987524
ALL,2017-12-13 04:00:00,3128.0612319723205
ALL,2017-12-13 05:00:00,3123.571288833582
ALL,2017-12-13 06:00:00,3140.6602781767724
ALL,2017-12-13 07:00:00,3128.556330650344
ALL,2017-12-13 08:00:00,3088.944991722387
ALL,2017-12-13 09:00:00,3294.3488376492096
ALL,2017-12-13 10:00:00,3455.6913663305486
ALL,2017-12-13 11:00:00,3306.1387037273
ALL,2017-12-13 12:00:00,3208.341852203475
ALL,2017-12-13 13:00:00,3105.5635312232994
ALL,2017-12-13 14:00:00,2963.5354027066815
ALL,2017-12-13 15:00:00,2870.5046677579758
ALL,2017-12-13 16:00:00,2943.379488502888
ALL,2017-12-13 17:00:00,2986.336968973713
ALL,2017-12-13 18:00:00,2891.0303045877818
